"model","scenario","region","variable","unit","year","value"
"WITCH 6.0","SSP2_ce_narrow","eu27","Population","million people",2045,440.161115208157
"WITCH 6.0","SSP2_ce_narrow","india","Population","million people",2045,1620.71642363105
"WITCH 6.0","SSP2_ce_narrow","indonesia","Population","million people",2045,312.846530975025
"WITCH 6.0","SSP2_ce_narrow","japan","Population","million people",2045,109.743505892315
"WITCH 6.0","SSP2_ce_narrow","korea","Population","million people",2045,47.7757270741495
"WITCH 6.0","SSP2_ce_narrow","laca","Population","million people",2045,360.703364975244
"WITCH 6.0","SSP2_ce_narrow","mena","Population","million people",2045,653.063080840169
"WITCH 6.0","SSP2_ce_narrow","mexico","Population","million people",2045,148.436150866739
"WITCH 6.0","SSP2_ce_narrow","oceania","Population","million people",2045,56.4244136490244
"WITCH 6.0","SSP2_ce_narrow","othereurope","Population","million people",2045,101.437350029477
"WITCH 6.0","SSP2_ce_narrow","sasia","Population","million people",2045,688.530889749089
"WITCH 6.0","SSP2_ce_narrow","seasia","Population","million people",2045,463.871767457188
"WITCH 6.0","SSP2_ce_narrow","southafrica","Population","million people",2045,70.2832256406618
"WITCH 6.0","SSP2_ce_narrow","ssa","Population","million people",2045,1950.75563199558
"WITCH 6.0","SSP2_ce_narrow","te","Population","million people",2045,280.275894821614
"WITCH 6.0","SSP2_ce_narrow","usa","Population","million people",2045,365.264261412662
"WITCH 6.0","SSP2_ce_narrow","world","Population","million people",2045,9422.43276516785
"WITCH 6.0","SSP2_ce_narrow","brazil","Population","million people",2050,223.568500350695
"WITCH 6.0","SSP2_ce_narrow","canada","Population","million people",2050,42.3769894816821
"WITCH 6.0","SSP2_ce_narrow","ccasia","Population","million people",2050,152.064851048616
"WITCH 6.0","SSP2_ce_narrow","china","Population","million people",2050,1298.43319892178
"WITCH 6.0","SSP2_ce_narrow","eu27","Population","million people",2050,438.737328183057
"WITCH 6.0","SSP2_ce_narrow","india","Population","million people",2050,1633.49095669975
"WITCH 6.0","SSP2_ce_narrow","indonesia","Population","million people",2050,314.889034546252
"WITCH 6.0","SSP2_ce_narrow","japan","Population","million people",2050,106.434873587622
"WITCH 6.0","SSP2_ce_narrow","korea","Population","million people",2050,46.3156606492592
"WITCH 6.0","SSP2_ce_narrow","laca","Population","million people",2050,365.433699276458
"WITCH 6.0","SSP2_ce_narrow","mena","Population","million people",2050,680.216715171695
"WITCH 6.0","SSP2_ce_narrow","mexico","Population","million people",2050,150.722899771751
"WITCH 6.0","SSP2_ce_narrow","oceania","Population","million people",2050,58.3072003096796
"WITCH 6.0","SSP2_ce_narrow","othereurope","Population","million people",2050,102.535937370627
"WITCH 6.0","SSP2_ce_narrow","sasia","Population","million people",2050,720.76736477049
"WITCH 6.0","SSP2_ce_narrow","seasia","Population","million people",2050,469.103185273346
"WITCH 6.0","SSP2_ce_narrow","southafrica","Population","million people",2050,70.8711261898326
"WITCH 6.0","SSP2_ce_narrow","ssa","Population","million people",2050,2126.8627398882
"WITCH 6.0","SSP2_ce_narrow","te","Population","million people",2050,279.517577960773
"WITCH 6.0","SSP2_ce_narrow","usa","Population","million people",2050,371.298780092401
"WITCH 6.0","SSP2_ce_narrow","world","Population","million people",2050,9651.94861954397
"WITCH 6.0","SSP2_ce_narrow","brazil","Population","million people",2055,221.968057946114
"WITCH 6.0","SSP2_ce_narrow","canada","Population","million people",2055,42.9434681973021
"WITCH 6.0","SSP2_ce_narrow","ccasia","Population","million people",2055,154.631041430151
"WITCH 6.0","SSP2_ce_narrow","china","Population","million people",2055,1250.18709033973
"WITCH 6.0","SSP2_ce_narrow","eu27","Population","million people",2055,436.535676167136
"WITCH 6.0","SSP2_ce_narrow","india","Population","million people",2055,1638.24047394447
"WITCH 6.0","SSP2_ce_narrow","indonesia","Population","million people",2055,315.492876462953
"WITCH 6.0","SSP2_ce_narrow","japan","Population","million people",2055,103.28662695795
"WITCH 6.0","SSP2_ce_narrow","korea","Population","million people",2055,44.4715787786636
"WITCH 6.0","SSP2_ce_narrow","laca","Population","million people",2055,368.401205948624
"WITCH 6.0","SSP2_ce_narrow","mena","Population","million people",2055,703.279391077282
"WITCH 6.0","SSP2_ce_narrow","mexico","Population","million people",2055,152.376851042395
"WITCH 6.0","SSP2_ce_narrow","oceania","Population","million people",2055,59.9658214171756
"WITCH 6.0","SSP2_ce_narrow","othereurope","Population","million people",2055,103.389019023804
"WITCH 6.0","SSP2_ce_narrow","sasia","Population","million people",2055,749.781937111627
"WITCH 6.0","SSP2_ce_narrow","seasia","Population","million people",2055,471.902024958843
"WITCH 6.0","SSP2_ce_narrow","southafrica","Population","million people",2055,71.0336279451763
"WITCH 6.0","SSP2_ce_narrow","ssa","Population","million people",2055,2296.94872433123
"WITCH 6.0","SSP2_ce_narrow","te","Population","million people",2055,277.92418426188
"WITCH 6.0","SSP2_ce_narrow","usa","Population","million people",2055,376.460721293782
"WITCH 6.0","SSP2_ce_narrow","world","Population","million people",2055,9839.22039863628
"WITCH 6.0","SSP2_ce_narrow","brazil","Population","million people",2060,219.417854196414
"WITCH 6.0","SSP2_ce_narrow","canada","Population","million people",2060,43.4783767953414
"WITCH 6.0","SSP2_ce_narrow","ccasia","Population","million people",2060,156.178156987283
"WITCH 6.0","SSP2_ce_narrow","china","Population","million people",2060,1196.14550055597
"WITCH 6.0","SSP2_ce_narrow","eu27","Population","million people",2060,433.663227542769
"WITCH 6.0","SSP2_ce_narrow","india","Population","million people",2060,1635.73712459162
"WITCH 6.0","SSP2_ce_narrow","indonesia","Population","million people",2060,314.779175890528
"WITCH 6.0","SSP2_ce_narrow","japan","Population","million people",2060,100.151901324629
